Model,Accuracy test,Energy train,Energy test
AdaBoost,0.5756,7645.038248582579,74.04785908469596
AdaBoost,0.5756,7650.943072561215,80.48754297702122
AdaBoost,0.5756,7790.95381482238,74.1069729333376
AdaBoost,0.5756,7633.396543740602,75.42516907171549
AdaBoost,0.5756,7621.797245953386,78.89854665787176
AdaBoost,0.5756,7634.950509912041,79.9386345084286
AdaBoost,0.5756,7692.720012762235,92.48984320981134
AdaBoost,0.5756,7749.145102041388,78.1821620267989
AdaBoost,0.5756,7687.3530735683835,77.32646522651876
AdaBoost,0.5756,7746.869637369756,72.45846773365525
AdaBoost,0.5756,7723.691144143842,80.1777836293445
AdaBoost,0.5756,7703.831988795122,73.15988146123722
AdaBoost,0.5756,7697.971066892309,87.49337523108332
AdaBoost,0.5756,7773.526110693417,75.65456198790655
AdaBoost,0.5756,7739.0478174395275,85.1457942631723
AdaBoost,0.5756,7714.309128255902,81.57762939991868
AdaBoost,0.5756,7787.020837701429,75.70847841067665
AdaBoost,0.5756,7725.027780137423,75.03978570009252
AdaBoost,0.5756,7630.384605467524,72.58804978015011
AdaBoost,0.5756,7743.684754883473,75.63013490442475
AdaBoost,0.5756,7621.000798333429,71.05129342621495
AdaBoost,0.5756,7691.704641825608,73.8178714144842
AdaBoost,0.5756,7702.617764761841,71.22945076328611
AdaBoost,0.5756,7718.376815074318,71.64251264366922
AdaBoost,0.5756,7631.708084789923,73.67188676056085
AdaBoost,0.5756,7658.719884947212,78.90784382996489
Naive Bayes,0.524,145.99760070794235,65.13307597545035
Naive Bayes,0.524,145.41732970420335,67.3680380618252
Naive Bayes,0.524,143.43412790839454,66.6451233641016
Naive Bayes,0.524,145.97660299795382,65.88506633734688
Naive Bayes,0.524,142.1647872572309,64.29680735801712
Naive Bayes,0.524,143.81978316870283,67.26534916455418
Naive Bayes,0.524,188.8873926054842,83.64490274572418
Naive Bayes,0.524,152.04085208595876,63.257789256494206
Naive Bayes,0.524,142.4439763100345,64.69852293412455
Naive Bayes,0.524,144.75784260035144,65.44292996674776
Naive Bayes,0.524,147.7042869930986,67.79608187561647
Naive Bayes,0.524,152.77312910887667,66.05529146461794
Naive Bayes,0.524,142.8792043762361,104.4333131444767
Naive Bayes,0.524,160.51580885028636,68.62046046749937
Naive Bayes,0.524,145.4101340700492,64.07695851482494
Naive Bayes,0.524,143.84380592438453,65.55453463659144
Naive Bayes,0.524,143.23912849445395,66.11385240306954
Naive Bayes,0.524,142.89033314288403,70.3778100143749
Naive Bayes,0.524,142.41428260550074,65.65755993298407
Naive Bayes,0.524,142.32023020418922,68.34018789722678
Naive Bayes,0.524,143.53045358887985,64.3957417876957
Naive Bayes,0.524,144.0744073887557,63.09405076294265
Naive Bayes,0.524,145.8100539786701,63.28225903461869
Naive Bayes,0.524,147.32090065663067,90.01601277621656
Naive Bayes,0.524,149.62383445754395,67.42098573379303
Naive Bayes,0.524,144.0902802051515,67.8063230549251
Naive Bayes,0.524,147.2073027100528,69.81829403098524
Naive Bayes,0.524,149.60515283001578,68.1677086287077
Naive Bayes,0.524,145.62120980454935,65.96212368908108
Naive Bayes,0.524,144.9264880220687,64.57472043734955
QDA,0.5369,6648.966860345978,249.97621339774656
QDA,0.5369,7181.169235510921,237.3561913311102
QDA,0.5369,4982.079383418793,271.4287489129149
QDA,0.5369,5944.997637667007,258.3712015081732
QDA,0.5369,5903.407667894867,260.26581205295616
QDA,0.5369,6956.244568714387,252.24847088723817
QDA,0.5369,6245.635868566393,310.7473537790904
QDA,0.5369,8014.2536104880055,282.8881723553831
QDA,0.5369,7522.354955492081,262.5162817313048
QDA,0.5369,7437.237040009794,265.8536830419709
QDA,0.5369,5469.853499277603,256.9446078883972
QDA,0.5369,5883.784363729665,258.67917651369845
QDA,0.5369,5442.891818956335,244.74788955419794
QDA,0.5369,5726.383362627763,239.94648814970714
QDA,0.5369,5392.785987516124,237.54979562318863
QDA,0.5369,6348.741448130544,240.64195227945575
QDA,0.5369,5608.850242871063,249.8064130927515
QDA,0.5369,5981.95874082254,252.68898734104073
QDA,0.5369,5483.723064603242,242.69578563774738
QDA,0.5369,7308.512300028707,249.00380964162298
QDA,0.5369,4913.5868889895655,237.3247806758571
QDA,0.5369,5394.605683424736,296.5363052360895
QDA,0.5369,6344.383627972962,244.63710728378308
QDA,0.5369,7793.402256182743,275.3688372022844
QDA,0.5369,5713.35379358401,245.5959166830193
QDA,0.5369,5696.34342222217,242.75421442144497
QDA,0.5369,5008.987657113878,316.5369621257104
QDA,0.5369,5652.569361421257,276.53304137218754
QDA,0.5369,6679.222307941613,285.6579417226942
QDA,0.5369,6136.406492243705,285.91076284212977
Nearest Neighbors,0.9452,83.13030112462613,889.3228075380712
Nearest Neighbors,0.9452,85.91044825919347,915.7807758407787
Nearest Neighbors,0.9452,86.11003655616618,922.2799627894273
Nearest Neighbors,0.9452,101.56420150459934,917.0110427493976
Nearest Neighbors,0.9452,86.47599375257053,893.3778037575286
Nearest Neighbors,0.9452,78.95084946593883,902.1553434215856
Nearest Neighbors,0.9452,79.70867547657909,888.0861336351386
Nearest Neighbors,0.9452,80.00137614095661,920.6210133801557
Nearest Neighbors,0.9452,84.49761374736403,894.8764871938672
Nearest Neighbors,0.9452,82.08104539023432,912.6288192932417
Nearest Neighbors,0.9452,104.43071417542119,887.4160347030676
Nearest Neighbors,0.9452,83.59629247881712,906.4628485020836
Nearest Neighbors,0.9452,81.26079902314396,892.2588631409152
Nearest Neighbors,0.9452,79.53112626615382,901.7069499547766
Nearest Neighbors,0.9452,80.05753029687006,916.0852078982059
Nearest Neighbors,0.9452,78.56048028235247,897.64279070026
Nearest Neighbors,0.9452,78.72121461130068,893.7861702089676
Nearest Neighbors,0.9452,78.9278529305648,902.2557229287734
Nearest Neighbors,0.9452,81.55578494464295,925.4387498847323
Nearest Neighbors,0.9452,85.99288099148013,959.519358540149
Nearest Neighbors,0.9452,78.49802915259065,913.8592499080155
Nearest Neighbors,0.9452,78.83487974273032,925.9361308080983
Nearest Neighbors,0.9452,81.19257095078108,884.0310468739154
Nearest Neighbors,0.9452,84.69449359516985,899.2328028088115
Nearest Neighbors,0.9452,84.33869906433016,925.488002587991
