shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
exponential,65536.0,9.0,gpu1,2380279.0,0.9655357,0.1511923
exponential,65536.0,10.0,cpu1,1045296.8125,0.9654286,0.16082895
exponential,65536.0,10.0,gpu1,2330182.5,0.9654286,0.16082895
exponential,65536.0,12.0,cpu1,1340406.875,0.964,0.18941076
exponential,65536.0,12.0,gpu1,2492034.0,0.964,0.18941076
exponential,65536.0,14.0,cpu1,1453124.0,0.9635,0.2222073
exponential,65536.0,14.0,gpu1,2454118.0,0.9635,0.2222073
exponential,65536.0,16.0,cpu1,1588128.375,0.96125,0.2525656
exponential,65536.0,16.0,gpu2,2470162.75,0.96125,0.2525656
exponential,65536.0,18.0,cpu1,1809094.625,0.9622143,0.2867868
exponential,65536.0,18.0,gpu1,2555629.75,0.9622143,0.2867868
exponential,65536.0,20.0,cpu1,1959470.375,0.961,0.29132873
exponential,131072.0,3.0,cpu1,768388.4375,0.9775,0.08301606
exponential,131072.0,3.0,gpu1,2038739.75,0.9775,0.08301606
exponential,131072.0,4.0,cpu1,955575.3125,0.9767143,0.08914926
exponential,131072.0,4.0,gpu1,2172377.25,0.9767143,0.08914926
exponential,131072.0,5.0,cpu1,986116.0625,0.9762143,0.095075525
exponential,131072.0,5.0,gpu2,2105132.25,0.9762143,0.095075525
exponential,131072.0,7.0,cpu1,1099334.0,0.9742857,0.1098614
exponential,131072.0,7.0,gpu1,2277916.75,0.9742857,0.1098614
exponential,131072.0,8.0,cpu1,1355293.75,0.97335714,0.12122594
exponential,131072.0,8.0,gpu1,2225756.75,0.97335714,0.12122594
exponential,131072.0,9.0,cpu2,1289073.375,0.9728929,0.1299206
exponential,131072.0,9.0,gpu1,2293340.5,0.9728929,0.1299206
exponential,131072.0,10.0,cpu1,1566569.25,0.9722857,0.14322439
exponential,131072.0,10.0,gpu1,2329594.75,0.9722857,0.14322439
exponential,131072.0,12.0,cpu1,1527314.25,0.97257143,0.16042349
exponential,131072.0,12.0,gpu1,2454765.0,0.97257143,0.16042349
exponential,131072.0,14.0,cpu1,1654637.0,0.9719286,0.18758266
exponential,131072.0,14.0,gpu2,2503414.25,0.9719286,0.18758266
exponential,131072.0,16.0,cpu1,1744447.25,0.97067857,0.21257648
exponential,131072.0,16.0,gpu1,2504528.75,0.97067857,0.21257648
exponential,131072.0,18.0,cpu1,2494415.5,0.97125,0.2406426
exponential,131072.0,18.0,gpu1,2539347.25,0.97125,0.2406426
exponential,131072.0,20.0,cpu1,2382487.75,0.9725,0.25249162
exponential,262144.0,3.0,cpu1,940839.5625,0.98,0.07632761
exponential,262144.0,3.0,gpu1,1968287.125,0.98,0.07632761
exponential,262144.0,4.0,cpu1,984099.1875,0.97989285,0.07952416
exponential,262144.0,4.0,gpu1,2141409.25,0.97989285,0.07952416
exponential,262144.0,5.0,cpu1,1022204.875,0.97925,0.08500168
exponential,262144.0,5.0,gpu2,2083384.0,0.97925,0.08500168
exponential,262144.0,7.0,cpu1,1181897.875,0.9777857,0.098542646
exponential,262144.0,7.0,gpu2,2200747.75,0.9777857,0.098542646
exponential,262144.0,8.0,cpu1,1362987.75,0.9777857,0.107650355
exponential,262144.0,8.0,gpu1,2361737.25,0.9777857,0.107650355
exponential,262144.0,9.0,cpu1,1429432.5,0.97739285,0.11489223
exponential,262144.0,9.0,gpu1,2303186.0,0.97739285,0.11489223
exponential,262144.0,10.0,cpu1,1826873.75,0.97710717,0.12379753
exponential,262144.0,10.0,gpu2,2394406.0,0.97710717,0.12379753
exponential,262144.0,12.0,cpu1,1675326.375,0.9764643,0.14573911
exponential,262144.0,12.0,gpu1,2440749.5,0.9764643,0.14573911
exponential,262144.0,14.0,cpu1,1925430.25,0.97671425,0.17127955
exponential,262144.0,14.0,gpu1,2378023.0,0.97671425,0.17127955
exponential,262144.0,16.0,cpu1,2131630.25,0.97635716,0.1831707
exponential,262144.0,16.0,gpu2,2483051.75,0.97635716,0.1831707
exponential,262144.0,18.0,cpu1,2301170.0,0.97667855,0.22367524
exponential,262144.0,18.0,gpu1,2595037.25,0.97667855,0.22367524
exponential,262144.0,20.0,cpu1,2350818.0,0.9775,0.2144157
exponential,524288.0,3.0,cpu1,968719.8125,0.9817857,0.07166434
exponential,524288.0,3.0,gpu1,2119014.25,0.9817857,0.07166434
exponential,524288.0,4.0,cpu1,1010679.1875,0.9817143,0.073924854
exponential,524288.0,4.0,gpu1,2184465.75,0.9817143,0.073924854
exponential,524288.0,5.0,cpu1,1203086.0,0.98164284,0.07851255
exponential,524288.0,5.0,gpu1,2202326.0,0.98164284,0.07851255
exponential,524288.0,7.0,cpu1,1829212.75,0.9810357,0.09200795
exponential,524288.0,7.0,gpu1,2380170.5,0.9810357,0.09200795
exponential,524288.0,8.0,cpu1,1512511.875,0.9809286,0.09851764
exponential,524288.0,8.0,gpu1,2301717.5,0.9809286,0.09851764
exponential,524288.0,9.0,cpu1,1636120.125,0.98064286,0.10538231
exponential,524288.0,9.0,gpu2,2360184.75,0.98064286,0.10538231
exponential,524288.0,10.0,cpu1,1601387.625,0.98064286,0.10944383
exponential,524288.0,10.0,gpu1,2612243.75,0.98064286,0.10944383
exponential,524288.0,12.0,gpu2,2382236.5,0.9797857,0.13288194
exponential,524288.0,14.0,cpu1,3166808.75,0.97917855,0.14781836
exponential,524288.0,14.0,gpu1,2513440.5,0.97917855,0.14781836
exponential,524288.0,16.0,cpu1,4537883.5,0.97978574,0.16381457
exponential,524288.0,16.0,gpu1,2513701.25,0.97978574,0.16381457
exponential,524288.0,18.0,cpu1,2401193.5,0.9796786,0.17737395
exponential,524288.0,18.0,gpu1,2716630.5,0.9796786,0.17737395
exponential,524288.0,20.0,cpu1,2716200.0,0.97992855,0.176116
exponential,1048576.0,3.0,cpu1,1082836.75,0.9829286,0.06702824
exponential,1048576.0,3.0,gpu1,2129702.5,0.9829286,0.06702824
exponential,1048576.0,4.0,cpu1,1137013.625,0.98282146,0.07107061
exponential,1048576.0,4.0,gpu1,2152501.75,0.98282146,0.07107061
exponential,1048576.0,5.0,cpu1,1326973.75,0.98300004,0.074150905
exponential,1048576.0,5.0,gpu1,2281767.0,0.98300004,0.074150905
exponential,1048576.0,7.0,cpu1,1527212.875,0.98321426,0.08155765
exponential,1048576.0,7.0,gpu1,2357441.5,0.98321426,0.08155765
exponential,1048576.0,8.0,cpu1,1622326.75,0.9825714,0.09070788
exponential,1048576.0,8.0,gpu2,2350255.75,0.9825714,0.09070788
exponential,1048576.0,9.0,cpu1,1692779.875,0.9826428,0.09521153
exponential,1048576.0,9.0,gpu2,2370182.75,0.9826428,0.09521153
exponential,1048576.0,10.0,cpu1,2152126.75,0.9825,0.10491668
exponential,1048576.0,10.0,gpu2,2360610.5,0.9825,0.10491668
exponential,1048576.0,12.0,cpu1,2284784.5,0.9819643,0.12237176
exponential,1048576.0,12.0,gpu2,2506477.0,0.9819643,0.12237176
exponential,1048576.0,14.0,cpu1,2437543.75,0.98132145,0.13454974
exponential,1048576.0,14.0,gpu2,2570880.25,0.98132145,0.13454974
exponential,1048576.0,16.0,cpu1,3261578.25,0.9819286,0.13617697
exponential,1048576.0,16.0,gpu1,2675002.25,0.9819286,0.13617697
exponential,1048576.0,18.0,cpu1,4695461.0,0.982,0.14124729
exponential,1048576.0,18.0,gpu1,2674969.5,0.982,0.14124729
exponential,1048576.0,20.0,cpu1,2920868.5,0.9817857,0.15263765
exponential,2097152.0,3.0,cpu1,1463076.375,0.9836786,0.0650679
exponential,2097152.0,3.0,gpu1,2292060.25,0.9836786,0.0650679
exponential,2097152.0,4.0,cpu1,1725204.625,0.9837143,0.06894993
exponential,2097152.0,4.0,gpu1,2406325.5,0.9837143,0.06894993
exponential,2097152.0,5.0,cpu1,1639439.0,0.98407143,0.07109271
exponential,2097152.0,5.0,gpu1,2360197.0,0.98407143,0.07109271
exponential,2097152.0,7.0,cpu1,1976373.875,0.98410714,0.079065844
exponential,2097152.0,7.0,gpu1,2545832.5,0.98410714,0.079065844
exponential,2097152.0,8.0,cpu2,2141125.0,0.98389286,0.08673191
exponential,2097152.0,8.0,gpu1,2447760.0,0.98389286,0.08673191
exponential,2097152.0,9.0,cpu1,2156753.25,0.9837143,0.09179418
exponential,2097152.0,9.0,gpu1,2566014.5,0.9837143,0.09179418
exponential,2097152.0,10.0,cpu1,2399154.75,0.9836072,0.1002741
exponential,2097152.0,10.0,gpu2,2501711.5,0.9836072,0.1002741
exponential,2097152.0,12.0,cpu1,2418434.25,0.9828929,0.11264743
exponential,2097152.0,12.0,gpu1,2781501.0,0.9828929,0.11264743
exponential,2097152.0,14.0,cpu1,4022878.5,0.9835,0.1150752
exponential,2097152.0,14.0,gpu1,2713345.75,0.9835,0.1150752
exponential,2097152.0,16.0,cpu1,3950560.25,0.9826428,0.12294628
exponential,2097152.0,16.0,gpu1,2816723.75,0.9826428,0.12294628
exponential,2097152.0,18.0,cpu1,3917854.5,0.9833214,0.12770575
exponential,2097152.0,18.0,gpu1,2940024.0,0.9833214,0.12770575
exponential,4194304.0,3.0,cpu1,2237758.75,0.9843214,0.06395509
exponential,4194304.0,3.0,gpu1,2896367.5,0.9843214,0.06395509
exponential,4194304.0,4.0,cpu1,2279234.5,0.98464286,0.06558884
exponential,4194304.0,4.0,gpu1,2957943.25,0.98464286,0.06558884
exponential,4194304.0,5.0,cpu1,2669102.5,0.9855,0.06807535
exponential,4194304.0,5.0,gpu1,2982709.25,0.9855,0.06807535
exponential,4194304.0,7.0,cpu1,2795619.5,0.9852143,0.07597153
exponential,4194304.0,7.0,gpu1,2967489.75,0.9852143,0.07597153
exponential,4194304.0,8.0,cpu1,3692054.0,0.9850714,0.08232957
exponential,4194304.0,8.0,gpu1,3083940.25,0.9850714,0.08232957
exponential,4194304.0,9.0,cpu1,3228714.75,0.98478574,0.08669974
exponential,4194304.0,9.0,gpu2,3104215.75,0.98478574,0.08669974
exponential,4194304.0,10.0,cpu1,3309746.5,0.9842857,0.08974825
exponential,4194304.0,10.0,gpu1,3096648.25,0.9842857,0.08974825
