Model,Accuracy train,Accuracy val,Accuracy test,Loss train,Loss val,Loss test,Energy train,Energy test
ResNet18,0.7174453181412432,0.6330600000000001,0.6717000000000001,1.179161673303383,1.577048168373108,1.339808098526001,52133711.13480804,7768.767263054915
VGG16,0.7267503108839012,0.6670600000000001,0.71164,1.0982261354075358,1.4112764386749268,1.235747842102051,319042726.2362583,16943.01
SqueezeNet V1,0.5185990202791335,0.50604,0.5521600000000001,2.213098999921728,2.2912937563323976,2.020052211456299,66008751.47348884,7290.184629180399
ShuffleNet V2,0.4951416014236898,0.46976,0.50026,2.3199221986676672,2.436071227798462,2.209478057632446,29026127.60779571,4860.6855939274765
MobileNet V2,0.6486975365649014,0.61724,0.6632600000000001,1.4678734748174629,1.6349080587768554,1.3604965228271484,93482970.5914604,6182.219077331169
EfficientNet B0,0.7308074371713992,0.6744600000000001,0.7076800000000001,1.096473350430396,1.3836063486862182,1.196676288909912,118497814.20445102,7051.974840372971
