Model,Pretrained,Accuracy train,Accuracy val,Accuracy test,Loss train,Loss val,Loss test,Energy train,Energy test
VGG16,True,0.7520333333333333,0.64495,0.6193000000000001,0.8112561955451966,1.2402905034065246,1.3411092147827148,2501659.0269615003,3723.6111732216
VGG16,False,0.9820666666666668,0.35,0.3191,0.0606200372159481,4.335590393829346,4.445336647033692,1061498.13999274,3707.5834748095203
VGG16,True,0.7475333333333334,0.64265,0.614,0.8227084033648173,1.257105802154541,1.3437113761901855,2282324.823434445,3730.4996344070396
VGG16 BatchNorm,False,0.9370333333333334,0.53555,0.5037,0.1918921712636947,2.413424880599976,2.610771039199829,1804522.759721254,4370.38637633784
VGG16 BatchNorm,True,0.6877,0.5780000000000001,0.4812,1.056013772201538,1.5064777027130127,1.9991464069366456,4887670.140769832,4383.40759659576
VGG16,False,0.9846666666666668,0.3618,0.3351,0.0544679801523685,3.975493197631836,4.117285372924805,1101718.8109125586,3673.60464975048
VGG16,True,0.7587333333333334,0.6411,0.6145,0.790454664516449,1.265091097831726,1.351126481628418,2634102.9999908735,3730.7575547733604
VGG16 BatchNorm,False,0.9311333333333334,0.5275000000000001,0.4717,0.2105920404275258,2.551041800117493,2.9623571590423583,1703295.445902354,4353.05716052112
VGG16 BatchNorm,True,0.6813666666666667,0.58085,0.4789,1.0928383307774865,1.5131990999221805,2.009533616256714,3542766.096773361,4349.06829649476
VGG16,False,0.9851666666666667,0.34465,0.3186,0.0572038203537464,4.29716626739502,4.445039107513428,1058170.5356629745,3715.1961424556403
VGG16,True,0.7555666666666667,0.6448,0.6151,0.7941477641105652,1.2532145431518555,1.3486572717666625,2814231.5276132533,3740.76962873676
VGG16 BatchNorm,False,0.9308333333333334,0.55115,0.5051,0.2167448567390442,2.31878000793457,2.65802607421875,1603035.6563977585,4377.87009476568
VGG16 BatchNorm,True,0.6777666666666667,0.5855,0.4761,1.0953362241744995,1.4897714939117432,2.0273990337371828,4000158.752876093,4365.184089551761
ResNet18,False,0.997,0.3847,0.3492,0.0254485792795817,3.067682884597778,3.4597463371276858,247830.58626888276,783.28030048164
MobileNet V2,False,0.9379666666666668,0.3753,0.3395,0.2673266028722127,3.1650494861602785,3.471292766571045,493853.1476878152,1070.2992421548001
ResNet18,False,0.8787666666666667,0.3298,0.2941,0.4102634579817454,3.740528635787964,4.104052074432373,264574.9501309285,770.7231225532801
MobileNet V2,False,0.9378,0.3649,0.3353,0.2656569025834401,3.2291726921081545,3.478326086425781,494041.4691266293,1079.3983825512
EfficientNet B0,False,0.8542000000000001,0.40865,0.366,0.5047406997680665,3.136342169570923,3.459211682128906,582843.5727558808,1319.70626664624
ShuffleNet V2,False,0.5109,0.2837,0.2649,1.7616246838887533,3.067208437728882,3.191228112792969,133326.6155790757,357.17262963484825
SqueezeNet V1,False,0.6819000000000001,0.45775,0.4216,1.108089748064677,2.4373206930160523,2.606299445343017,888352.2545443376,994.7371629056399
EfficientNet B0,False,0.8571666666666667,0.40845,0.3839,0.4980240887641907,3.079848308944702,3.313933589172364,565613.7671147789,1321.9020921168
ResNet18,False,0.995,0.3478,0.3115,0.0326982999145984,3.450769466781616,3.814457095718384,239224.1800992588,802.82001812148
MobileNet V2,False,0.9518333333333334,0.3718,0.3349,0.2161827252388,3.21929567489624,3.5506558712005614,493947.61695152323,1082.119089825
EfficientNet B0,False,0.8607,0.4184,0.3773,0.4860349894841512,3.069853388595581,3.401326033401489,582388.78318696,1317.97979226036
ShuffleNet V2,False,0.4957,0.2946,0.2671,1.8409928288141888,2.9609729934692384,3.1477302127838134,126861.56263674685,364.95602787384
SqueezeNet V1,False,0.6401666666666667,0.44755,0.4024,1.2786540070851644,2.324221518135071,2.581006033706665,826641.3197379848,998.3369022548399
ShuffleNet V2,False,0.5233666666666666,0.28745,0.265,1.722300483640035,3.044949554824829,3.168801024246216,140281.143761862,347.91789022851873
ResNet18,False,0.9998,0.434,0.4097,0.0038943051109711,2.637866235733032,2.8378586933135987,272527.09959788894,792.66448624284
MobileNet V2,False,0.9429666666666668,0.3631,0.3299,0.2466323479016622,3.2732313819885253,3.616545893859864,506319.32374703314,1062.63675787176
EfficientNet B0,False,0.8544666666666667,0.4016,0.3719,0.5082863504091899,3.140636529541016,3.423957582092285,565286.3794218748,1306.62067840308
ShuffleNet V2,False,0.5291666666666667,0.28755,0.27,1.7062589909235637,3.048291186523437,3.16523928565979,140925.36130927777,335.33153952150275
SqueezeNet V1,False,0.6415333333333334,0.44285,0.4087,1.268302534421285,2.4103823596954346,2.62150828704834,764241.7144818135,1000.58011742304
SqueezeNet V1,False,0.6289,0.44085,0.4114,1.3187786935806274,2.3475039447784423,2.475961323928833,845784.3869854783,1004.1950633655599
ResNet18,False,0.9999,0.43245,0.4008,0.0044883735870321,2.634806753158569,2.8586204765319825,255586.56733289768,783.63565518348
MobileNet V2,False,0.9327333333333334,0.3619,0.3333,0.2795811948458354,3.1847646785736083,3.430081262588501,480552.13998468214,1054.45287916956
EfficientNet B0,False,0.8607,0.39575,0.3719,0.4806865464846293,3.22495892868042,3.392594470214844,599244.7792428154,1315.07624615688
ShuffleNet V2,False,0.5363,0.29555,0.269,1.678245541826884,2.970414922332764,3.1557562622070314,143560.70732386512,337.7107665940398
SqueezeNet V1,False,0.6240666666666667,0.4514,0.4082,1.3409772274653118,2.30376621131897,2.510653708648681,737348.6584105052,990.0168832263599
ResNet18,False,0.9999,0.43835,0.4045,0.0060908231173952,2.6053454610824587,2.7974477436065674,238981.58187873085,785.12807684196
MobileNet V2,False,0.9439333333333334,0.3779,0.3296,0.2403272003014882,3.172281683349609,3.533459617996216,505854.10978719336,1065.01880099808
EfficientNet B0,False,0.8498333333333333,0.39765,0.3573,0.5216499174435933,3.144717009353638,3.480337060546875,565162.4335154382,1294.79131739412
ShuffleNet V2,False,0.5301,0.28885,0.2593,1.7060972730000814,3.0427408813476564,3.222916423797608,135415.8466037147,342.0652826958728
ResNet18,True,0.9999333333333332,0.73275,0.6900000000000001,0.0013408668577671,1.089033068752289,1.2484418384552003,222776.8640859654,779.29788231972
MobileNet V2,True,0.9977,0.71935,0.6509,0.0149348519643147,1.2744522448539737,1.6112280447006226,355933.42018678045,1083.82717004796
ResNet18,True,0.9987,0.71285,0.6733,0.0080646458168824,1.1645663833618165,1.3423229026794434,239687.74999866422,776.15773776
MobileNet V2,True,0.9976666666666668,0.7234,0.6604,0.0156855641613403,1.240908804512024,1.5325420658111573,343204.16314308083,1057.3007815749602
EfficientNet B0,True,0.9899666666666668,0.8187000000000001,0.7922,0.0351687464435895,0.8108819919109345,0.9765342573165894,466512.98567615816,1316.61112991472
ShuffleNet V2,True,0.8754000000000001,0.6115,0.5664,0.4360152840137481,1.466815913963318,1.7084239641189576,118160.11178530345,361.96831311264003
SqueezeNet V1,True,0.8898333333333334,0.6505000000000001,0.6016,0.3442848744233449,1.5978249156951905,1.8520687549591064,334146.48632490746,998.61823159704
ResNet18,True,0.9998,0.7174,0.6732,0.001600378949816,1.144737329292297,1.331230078029633,231465.3886968433,778.14166236984
MobileNet V2,True,0.9984666666666668,0.72595,0.6643,0.0124554525971412,1.2559030445098878,1.5536849657058716,356287.42259861255,1065.67970622228
EfficientNet B0,True,0.9902333333333334,0.8163,0.7917000000000001,0.036619115748008,0.803311809539795,0.9502602107048036,451017.4914853488,1314.4091382511199
ShuffleNet V2,True,0.8785333333333334,0.6137,0.5731,0.424705890750885,1.4699968128204346,1.673416418647766,120868.50587589649,358.7501779084823
SqueezeNet V1,True,0.8859333333333334,0.65625,0.6035,0.3503770704110463,1.524042527961731,1.766491505050659,334751.28872126184,1008.1431010814399
EfficientNet B0,True,0.9898333333333332,0.8187000000000001,0.7923,0.035811575102806,0.8222606395721436,0.9517746515274048,449937.07280557347,1308.27363565536
ShuffleNet V2,True,0.8683333333333334,0.61605,0.5680000000000001,0.4603726909955342,1.4583852122306824,1.675382914352417,112158.26670589487,369.08071948476
SqueezeNet V1,True,0.8946000000000001,0.65335,0.6042000000000001,0.331375316063563,1.559077593898773,1.7710774545669556,342772.73126272514,995.8495180478401
ResNet18,True,0.9993,0.7218,0.6764,0.0042959466236333,1.1295150789260864,1.3106674839019776,231652.67579152776,781.83884863908
MobileNet V2,True,0.9976333333333334,0.7149500000000001,0.6463,0.0141041744053363,1.2993768465042117,1.637504483795166,356332.55819842184,1090.55274070896
EfficientNet B0,True,0.9895666666666668,0.81765,0.7938000000000001,0.0369803348024686,0.8218176241874695,0.946132682800293,450275.76983724016,1299.36367934028
ShuffleNet V2,True,0.8777666666666667,0.61185,0.5711,0.4277300270080566,1.4960296787261962,1.7003511859893798,118738.87661067552,363.39949143792
SqueezeNet V1,True,0.8835666666666667,0.6472,0.6,0.3615789806207021,1.5262077142715451,1.7540786457061768,324967.3914060396,1013.1125761375199
ResNet18,False,0.9999,0.43835,0.4045,0.0060908231173952,2.6053454610824587,2.7974477436065674,239256.58095428074,792.75928695408
MobileNet V2,False,0.9439333333333334,0.3779,0.3296,0.2403272003014882,3.172281683349609,3.533459617996216,506339.0649966729,1065.9466251144
ResNet18,False,0.9989666666666668,0.4054,0.3764,0.0122084898511568,2.918723514175415,3.124260530090332,240039.11355065028,798.74970620724
MobileNet V2,False,0.9246333333333334,0.35815,0.3229,0.3097290755271911,3.219784602355957,3.5159795280456545,456399.53368688014,1073.94918517152
EfficientNet B0,False,0.8513666666666667,0.39785,0.3695,0.5185467129707336,3.2361458488464354,3.456300271606445,565435.147359092,1301.19412612464
ShuffleNet V2,False,0.4891,0.2763,0.2558,1.8517637400309248,3.0477841987609864,3.193829021835328,130712.27631255864,351.5010269943134
SqueezeNet V1,False,0.6415666666666667,0.431,0.4052,1.2574207902908323,2.4306311878204347,2.515374975967408,844719.3612333777,1010.18143681812
ResNet18,True,0.9998666666666668,0.72145,0.6799000000000001,0.0015927353686342,1.122834414100647,1.3289279537200929,248282.42779235268,780.90599724516
MobileNet V2,True,0.9984666666666668,0.7300500000000001,0.6478,0.0116988780051469,1.2332185125350952,1.617665778541565,356302.5118110083,1073.80879537932
EfficientNet B0,True,0.9915666666666668,0.81855,0.7927000000000001,0.0312295699089765,0.8084744669914246,0.9826899785995484,467521.33257752936,1310.03136132156
ShuffleNet V2,True,0.8837333333333334,0.6201,0.5713,0.4122006964683533,1.4479390144348143,1.7065307586669922,119969.53535807245,348.3402886237329
